Nombre Comercial,NombreFiscal,CALLE,NUMERO EXTERIOR,NUMERO INTERIOR,COLONIA,C.P.,ENTIDAD,MUNICIPIO Y/O DELEGACION,NO. DE TELEFONO,NO. DE TELEFONO2,CONTACTO
AGENCIA NACIONAL DE SEGURIDAD PRIVADA POSEIDON S.A. DE C.V.,AGENCIA NACIONAL DE SEGURIDAD PRIVADA POSEIDON S.A. DE C.V.,HACIENDA DE LA ENCARNACION,12,,HACIENDA DE ECHEGARAY,53300,ESTADO DE MEXICO,NAUCALPAN,5553902525,5553902626,LIC.ARTURO ARIAS
"ALLIED UNIVERSAL PRIVATE SECURITY SERVICES, S.A. DE C.V.","ALLIED UNIVERSAL PRIVATE SECURITY SERVICES, S.A. DE C.V.",CORDOBA,42,PISO 6,ROMA NORTE,6700,CIUDAD DE MEXICO,CUAUHTEMOC,5526786446,,LIC.YESSICA ARCOS
ALTEZA,"GRUPO SEGURIDAD PRIVADA TOTAL ALFA-MEX DE TRASLADO, CUSTODIA Y PROCESO DE VALORES S.A DE C.V.",AV. CUAHUTEMOC,1338,,SANTA CRUZ ATOYAC,3310,CIUDAD DE MEXICO,BENITO JUAREZ,,,LIC. AARON CASTILLO
ARA LOGISTIC,ARA LOGISTIC,,,,,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,,,
"ARISTON LOGISTICS, S.A DE C.V.","ARISTON LOGISTICS, S.A DE C.V.",CALZADA DE LA NARANJA,148,B,INDUSTRIAL ALCE BLANCO,53370,ESTADO DE MEXICO,NAUCALPAN,5559290876,5555769968,
ASIS SEGURIDAD PRIVADA S.A DE C.V.,ASIS SEGURIDAD PRIVADA S.A DE C.V.,RIBERA DE SAN COSME,22,105,SAN RAFAEL,6470,CIUDAD DE MEXICO,CUAUHTEMOC,5531844983,,
AUTOMOTRIZ INTERNACIONAL POLANCO S.A. DE C.V.,AUTOMOTRIZ INTERNACIONAL POLANCO S.A. DE C.V.,CALLE TRES,29,,FRACCIONAMIENTO INDUSTRIAL ALCE BLANCO,53370,ESTADO DE MEXICO,NAUCALPAN,5552813280,,
BLAC SOLUTIONS INTERNATIONAL S DE R.L. DE C.V.,BLAC SOLUTIONS INTERNATIONAL S DE R.L. DE C.V.,AV. RIO SAN JOAQUIN,351 PISO 7,701,AMPLIACION POPO,11489,CIUDAD DE MEXICO,MIGUEL HIDALGO,8006818113,,
"BLAC SOLUTIONS, S.A. DE C.V.","BLAC SOLUTIONS, S.A. DE C.V.",AV.RIO SAN JOAQUIN,315 PISO 7,701,AMPLIACION POPO,11489,CIUDAD DE MEXICO,MIGUEL HIDALGO,5541228501,,
"BMW DE MÉXICO, S.A. DE C.V.","BMW DE MÉXICO, S.A. DE C.V.",AV. JAVIER BARROS SIERRA,495 PISO 1,OFIC 1401,SANTA FE,1376,CIUDAD DE MEXICO,ALVARO OBREGON,5591408700,5591408751,
BNR SEGURIDAD PRIVADA S. A. DE C.V.,BNR SEGURIDAD PRIVADA S. A. DE C.V.,MARICOPA,10,DESP.201-A,NAPOLES,3810,CIUDAD DE MEXICO,BENITO JUAREZ,5526315040,,
"BULLDOG ROCK, S. DE R.L. DE C.V.","BULLDOG ROCK, S. DE R.L. DE C.V.",DEGOLLADO,161,DESP 201,GUERRERO,6300,CIUDAD DE MEXICO,CUAUHTEMOC,5515495841,,
C.E.CH SEGURIDAD PRIVADA S.A DE C.V.,C.E.CH SEGURIDAD PRIVADA S.A DE C.V.,AV. CHAPULTEPEC,126,401,ROMA NORTE,6700,CIUDAD DE MEXICO,CUAUHTEMOC,5552070767,,
"CABRERO TRUCKING, S.A DE C.V.","CABRERO TRUCKING, S.A DE C.V.",AV.HIDALGO,46,,PLAN DE GUADALUPE,54760,ESTADO DE MEXICO,CUAUTITLAN IZCALLI,5939147126,,
"COMPROMISO EN TACTICAS DE SEGURIDAD PRIVADA, S.A. DE C.V.","COMPROMISO EN TACTICAS DE SEGURIDAD PRIVADA, S.A. DE C.V.",PRESA TEPUXTEPEC,32,403-B,LOMAS HERMOSA,11200,CIUDAD DE MEXICO,MIGUEL HIDALGO,5555574209,,
"CONNECT TELEMETRA HS, S.A. DE C.V.","CONNECT TELEMETRA HS, S.A. DE C.V.",LERDO DE TEJADA,2521,,ARCOS VALLARTA,44130,JALISCO,GUADALAJARA,3344956255,,
CONSERSELI S.DE R.L. DE C.V.,CONSERSELI S.DE R.L. DE C.V.,CONUNTRY CLUB,74,,COUNTRY CLUB,4220,CIUDAD DE MEXICO,COYOACAN,,,
"CONSULTORES EN SEGURIDAD INTEGRAL, S.A. DE C.V.","CONSULTORES EN SEGURIDAD INTEGRAL, S.A. DE C.V.",CALLE 33 ORIENTE ,1214,201,ANZURES,72530,CIUDAD DE MEXICO,CIUDAD DE MEXICO,,,LIC.ARTURO ARIAS
CONTINENTAL,"CORPORATIVO HALCONES CONTINENTAL, S.A DE C.V.",CERRADA DE SAN JUAN,20,NAVE 1,LA PRESA,54187,ESTADO DE MEXICO,TLALNEPANTLA,5570510596,,
CORPORATIVO DE SEGURIDAD PRIVADA DIAMANTE CMP S.A DE C.V.,CORPORATIVO DE SEGURIDAD PRIVADA DIAMANTE CMP S.A DE C.V.,CERRO QUETZAL,295,,CAMPESTRE CHURUBUSCO,4200,CIUDAD DE MEXICO,COYOACAN,,,LIC.
"DAYNEMA BLINDAJES, S.A DE C.V.","DAYNEMA BLINDAJES, S.A DE C.V.",CAMINO DE LAS MESITAS,1245,,PRADOS SANTA LUCIA,45200,JALISCO,ZAPOPAN,3336273777,,
FELIPE LEON BARRAGAN,FELIPE LEON BARRAGAN,JUAN ALVAREZ,2,,HACIENDA DE TINIJARO,58337,MICHOACAN,MORELIA,9613595000,,
FULL PROTECTION BLINDAJES S.A DE C.V.,FULL PROTECTION BLINDAJES S.A DE C.V.,CALLE 3,29,B,INDUSTRIAL ALCE BLANCO,53370,ESTADO DE MEXICO,NAUCALPAN,5555767154,,
GCH SEGURIDAD PRIVADA S.A. DE C.V.,GCH SEGURIDAD PRIVADA S.A. DE C.V.,CERRADA DE SAN JUAN,20,NAVE 1,"LA PRESA, ZONA INDUSTRIAL",54187,ESTADO DE MEXICO,TLALNEPANTLA,5570510596,,
GLOBAL FLEET MANAGEMENT S. DE R.L. DE C.V.,GLOBAL FLEET MANAGEMENT S. DE R.L. DE C.V.,AVENIDA VALLARTA,3030,2,VALLARTA NORTE,44690,JALISCO,GUADALAJARA,3336474974,,
GRUMER GRUPO MERCURIO DE TRANSPORTES S.A. DE C.V.,GRUPO MERCURIO DE TRANSPORTES S.A. DE C.V.,PROLONGACION SABINO,526,LOCAL A,AMPLIACION DEL GAS,2970,CIUDAD DE MEXICO,AZCAPOTZALCO,5516251420,,
GRUMER SEGURIDAD PRIVADA LOGISTICA Y GESTION DE EFECTIVO S.A. DE C. V.,GRUMER SEGURIDAD PRIVADA LOGISTICA Y GESTION DE EFECTIVO S.A. DE C. V.,PROLONGACION SABINO,526,LOCAL A,AMPLIACION DEL GAS,2970,CIUDAD DE MEXICO,AZCAPOTZALCO,5516251420,,
GRUPO CORPORATIVO HALCONES TERCER MILENIO S.A DE C.V,GRUPO CORPORATIVO HALCONES TERCER MILENIO S.A DE C.V,CERRADA SAN JUAN,20,NAVE 01,INDUSTRIAL LA PRESA,54187,ESTADO DE MEXICO,TLALNEPANTLA,5553784663,,
"GRUPO ESPARTANOS PROTEGER Y SERVIR, S.A. DE C.V.","GRUPO ESPARTANOS PROTEGER Y SERVIR, S.A. DE C.V.",20 DE NOVIEMBRE,,,ZONA ALTA,75750,PUEBLA,TEHUACAN,,,
GRUPO KANTESA DE MEXICO S.A DE C.V.,GRUPO KANTESA DE MEXICO S.A DE C.V.,AV. GUADALUPE,4059,,CIUDAD DE LOS NIÑOS,45040,JALISCO,ZAPOPAN,3338607624,5555260427,
GSI,GSI,,,,,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,,,
"GSM CUSTODIAS, S.A.P.I DE C.V.","GSM CUSTODIAS, S.A.P.I DE C.V.",NORTE 35,695,,COLTONGO,2630,CIUDAD DE MEXICO,AZCAPOTZALCO,5557703077,,LIC.ABRAHA BARRERA
