clave_subarea,subarea,clave_area,area
01.0,"CULTIVO, CRIANZA Y APROVECHAMIENTO",1,"CULTIVO, CRIANZA Y APROVECHAMIENTO"
01.1,AGRICULTURA Y SILVICULTURA,1,"CULTIVO, CRIANZA Y APROVECHAMIENTO"
01.2,GANADERÍA,1,"CULTIVO, CRIANZA Y APROVECHAMIENTO"
01.3,PESCA Y ACUACULTURA,1,"CULTIVO, CRIANZA Y APROVECHAMIENTO"
02.0,EXTRACCIÓN Y SUMINISTRO,2,EXTRACCIÓN Y SUMINISTRO
02.1,EXPLORACIÓN,2,EXTRACCIÓN Y SUMINISTRO
02.2,EXTRACCIÓN,2,EXTRACCIÓN Y SUMINISTRO
02.3,REFINACIÓN Y BENEFICIO,2,EXTRACCIÓN Y SUMINISTRO
02.4,PROVISIÓN DE ENERGÍA,2,EXTRACCIÓN Y SUMINISTRO
02.5,PROVISIÓN DE AGUA,2,EXTRACCIÓN Y SUMINISTRO
03.0,CONSTRUCCIÓN,3,CONSTRUCCIÓN
03.1,PLANEACIÓN Y DIRECCIÓN DE OBRAS,3,CONSTRUCCIÓN
03.2,EDIFICACIÓN Y URBANIZACIÓN,3,CONSTRUCCIÓN
03.3,ACABADO,3,CONSTRUCCIÓN
03.4,INSTALACIÓN Y MANTENIMIENTO,3,CONSTRUCCIÓN
04.0,TECNOLOGÍA,4,TECNOLOGÍA
04.1,MECÁNICA,4,TECNOLOGÍA
04.2,ELECTRICIDAD,4,TECNOLOGÍA
04.3,ELECTRÓNICA,4,TECNOLOGÍA
04.4,INFORMÁTICA,4,TECNOLOGÍA
04.5,TELECOMUNICACIONES,4,TECNOLOGÍA
04.6,PROCESOS INDUSTRIALES,4,TECNOLOGÍA
05.0,PROCESAMIENTO Y FABRICACIÓN,5,PROCESAMIENTO Y FABRICACIÓN
05.1,MINERALES NO METÁLICOS,5,PROCESAMIENTO Y FABRICACIÓN
05.2,METALES,5,PROCESAMIENTO Y FABRICACIÓN
05.3,ALIMENTOS Y BEBIDAS,5,PROCESAMIENTO Y FABRICACIÓN
05.4,TEXTILES Y PRENDAS DE VESTIR,5,PROCESAMIENTO Y FABRICACIÓN
05.5,MATERIA ORGÁNICA,5,PROCESAMIENTO Y FABRICACIÓN
05.6,PRODUCTOS QUÍMICOS,5,PROCESAMIENTO Y FABRICACIÓN
